episode,step,event_type,action_type,difficulty,modality,reward,correct,mean_mastery,frustration,response_time
1,1,content_completed,content,,3,0.10287273866578285,,0.3408952087152939,0.0,0.0
1,2,content_completed,content,,2,-0.01,,0.3408952087152939,0.02,0.0
1,3,content_completed,content,,0,0.19996273190304426,,0.3435612542470113,0.0,0.0
1,4,answered,question,0,,1.0130322209080018,True,0.3444300689742114,0.0,37.41967615181379
1,5,answered,question,1,,-0.03,False,0.3444300689742114,0.1,35.6127056118477
1,6,answered,question,2,,-0.075,False,0.3444300689742114,0.25,46.896193626278965
1,7,content_completed,content,,4,0.03722661865503864,,0.3450505126184621,0.25,0.0
1,8,content_completed,content,,2,0.03582191810406999,,0.3458142112535299,0.27,0.0
1,9,answered,question,1,,-0.111,False,0.3458142112535299,0.37,23.994382348393792
1,10,content_completed,content,,4,0.15714787674479236,,0.34843334253260977,0.37,0.0
1,11,content_completed,content,,0,0.2777814227128977,,0.35239636624449144,0.29,0.0
1,12,content_completed,content,,5,0.024919878148091892,,0.35322836421362624,0.33999999999999997,0.0
1,13,answered,question,1,,0.9372450616952954,True,0.3548447016599793,0.29,17.995986817350342
1,14,content_completed,content,,0,0.12418469004424176,,0.35624777982738337,0.20999999999999996,0.0
1,15,content_completed,content,,5,-0.025,,0.35624777982738337,0.25999999999999995,0.0
1,16,answered,question,0,,-0.108,False,0.35624777982738337,0.36,34.955090098745686
1,17,content_completed,content,,4,0.10613182672878266,,0.3580166436061964,0.36,0.0
1,18,content_completed,content,,0,0.18898500102194807,,0.36049972695656224,0.27999999999999997,0.0
1,19,answered,question,1,,0.9440767234206422,True,0.36137150851793837,0.22999999999999998,37.631500157515966
1,20,content_completed,content,,1,0.08642687721043756,,0.362395289804779,0.18,0.0
1,21,content_completed,content,,2,0.07893412612443937,,0.3638775252401863,0.19999999999999998,0.0
1,22,content_completed,content,,1,0.15769045380973862,,0.36608903280368194,0.14999999999999997,0.0
1,23,answered,question,2,,-0.07499999999999998,False,0.36608903280368194,0.24999999999999997,25.395496369261863
1,24,answered,question,1,,-0.105,False,0.36608903280368194,0.35,36.824882834082516
1,25,content_completed,content,,4,0.0,,0.36608903280368194,0.35,0.0
1,26,answered,question,1,,-0.13499999999999998,False,0.36608903280368194,0.44999999999999996,30.180620825771886
1,27,content_completed,content,,2,0.04295877003885402,,0.3669716789709962,0.47,0.0
1,28,answered,question,1,,-0.17099999999999999,False,0.3669716789709962,0.57,41.982847581234324
1,29,content_completed,content,,4,0.0,,0.3669716789709962,0.57,0.0
1,30,content_completed,content,,3,0.13382796982285372,,0.3689521451347104,0.5399999999999999,0.0
1,31,content_completed,content,,4,0.001746755038954377,,0.368981257718693,0.5399999999999999,0.0
1,32,content_completed,content,,5,0.06917268138780161,,0.3705508024084896,0.59,0.0
1,33,content_completed,content,,5,0.07819965956413186,,0.3722707967345585,0.64,0.0
1,34,answered,question,2,,-0.222,False,0.3722707967345585,0.74,33.12142447356113
1,35,content_completed,content,,2,0.0799406971845306,,0.3737698083543007,0.76,0.0
1,36,content_completed,content,,5,-0.01579269669117707,,0.37392326340944776,0.81,0.0
1,37,answered,question,0,,0.7916863867570578,True,0.37523568919325156,0.76,24.945912921100927
1,38,content_completed,content,,4,0.06729743458555801,,0.3763573131030108,0.76,0.0
1,39,content_completed,content,,5,0.0879736443168502,,0.3782402071749583,0.81,0.0
1,40,content_completed,content,,5,0.05388996184938972,,0.3795550398724482,0.8600000000000001,0.0
1,41,content_completed,content,,3,0.0986328072567742,,0.3809489199933945,0.8300000000000001,0.0
1,42,content_completed,content,,3,0.0722851572427733,,0.38190367261410735,0.8,0.0
1,43,answered,question,1,,0.78572197918998,True,0.38261847122677267,0.75,21.13852096495281
1,44,content_completed,content,,3,0.10860509946762828,,0.3841785562178998,0.72,0.0
1,45,answered,question,1,,-0.24599999999999997,False,0.3841785562178998,0.82,23.13743099162643
1,46,answered,question,1,,0.7790429046704489,True,0.3848480831959298,0.7699999999999999,32.17399845032194
1,47,content_completed,content,,5,-0.025,,0.3848480831959298,0.82,0.0
1,48,content_completed,content,,4,0.09786990176902668,,0.3864792482254135,0.82,0.0
1,49,answered,question,0,,-0.27599999999999997,False,0.3864792482254135,0.9199999999999999,23.971054184444895
1,50,answered,question,1,,-0.3,False,0.3864792482254135,1.0,31.2075815010648
2,1,content_completed,content,,4,0.09770467589736223,,0.30854122285947216,0.0,0.0
2,2,content_completed,content,,5,0.04432967436676933,,0.30969671743225163,0.05,0.0
2,3,answered,question,1,,1.0132811942322735,True,0.31058213038106985,0.0,30.413632845136263
2,4,content_completed,content,,1,0.2183349299671444,,0.31380437921385557,0.0,0.0
2,5,content_completed,content,,5,-0.01606039773115024,,0.31395337258500317,0.05,0.0
2,6,content_completed,content,,4,0.201826647885951,,0.31731715004976896,0.05,0.0
2,7,content_completed,content,,0,0.21197928259157625,,0.3201834714262953,0.0,0.0
2,8,content_completed,content,,0,0.17039952356405158,,0.32235679681902946,0.0,0.0
2,9,content_completed,content,,3,0.10427947456880747,,0.32384478806184286,0.0,0.0
2,10,content_completed,content,,3,0.08291674847634735,,0.32497673386978204,0.0,0.0
2,11,content_completed,content,,1,0.08932898771817407,,0.32604888366508494,0.0,0.0
2,12,answered,question,2,,1.0166045367340595,True,0.32715585278068887,0.0,21.41572929527188
2,13,content_completed,content,,1,0.14142994654489485,,0.32909635188977043,0.0,0.0
2,14,answered,question,0,,-0.03,False,0.32909635188977043,0.1,27.35211586840815
2,15,content_completed,content,,2,0.029270297107102446,,0.3297508568415555,0.12000000000000001,0.0
2,16,answered,question,1,,-0.066,False,0.3297508568415555,0.22000000000000003,29.731804278067717
2,17,content_completed,content,,3,0.17045790392153487,,0.3323418219069144,0.19000000000000003,0.0
2,18,answered,question,1,,0.9798674417445112,True,0.3337996513565485,0.14,38.3243417766211
2,19,answered,question,1,,0.9943132624220986,True,0.3352205355180217,0.09000000000000001,36.9128651572217
2,20,content_completed,content,,4,0.06821566824056179,,0.3363574633220311,0.09000000000000001,0.0
2,21,content_completed,content,,1,0.0900919842147136,,0.3374423297256096,0.04000000000000001,0.0
2,22,answered,question,2,,1.017235090725094,True,0.33859133577394923,0.0,21.358939746124957
2,23,content_completed,content,,0,0.09264941695287818,,0.3394688260564972,0.0,0.0
2,24,content_completed,content,,2,0.16728807407476876,,0.3424236272910767,0.02,0.0
2,25,answered,question,1,,-0.036000000000000004,False,0.3424236272910767,0.12000000000000001,16.014615741305
2,26,answered,question,0,,0.9932329476270801,True,0.3433724904662154,0.07,46.365311470845185
2,27,content_completed,content,,5,0.0743732277516933,,0.3450287109287436,0.12000000000000001,0.0
2,28,content_completed,content,,0,0.2876279875721707,,0.3491558440549465,0.04000000000000001,0.0
