modality,mean,std,count
video,0.06529413631734556,0.016919004207006788,902
PPT,0.044635223718528745,0.01933560480152733,1077
text,0.034766617049647404,0.010346043767373274,849
blog,0.04255109425834871,0.01471791430010197,890
article,0.036774125465735046,0.01188647427443583,936
handout,0.031287794424033434,0.009962905304890402,1151
